,forward_RE,forward_FC,UP,DW,production_RE,production_FC,Offshore DK2,Offshore DK1,Onshore DK2,Onshore DK1
8902,29.46,31.1812323379985,29.46,26.8,0.4852941176470588,0.5382712226022662,0.1292073832790445,0.9136442141623488,0.2876543209876543,0.4902578796561604
8903,29.07,28.24609498471692,29.07,26.0,0.5588235294117647,0.5803159163311807,0.1270358306188925,0.8929188255613126,0.2851851851851852,0.4246418338108882
8904,28.28,28.41365879845962,28.28,28.28,0.4754901960784313,0.6555449996974758,0.1248642779587405,0.8402417962003454,0.2617283950617284,0.4524355300859599
8905,28.34,29.76814259274088,28.34,23.9,0.5882352941176471,0.7372507693298782,0.1140065146579804,0.8419689119170984,0.2419753086419753,0.4037249283667621
8906,28.47,27.784302634623327,28.47,23.9,0.5686274509803921,0.3863716219064202,0.1150922909880564,0.8739205526770294,0.2345679012345679,0.3830945558739255
8907,28.11,0.447760943711323,28.11,23.9,0.3578431372549019,0.5258987922743869,0.1009771986970684,0.8687392055267703,0.1753086419753086,0.3507163323782234
8908,28.7,17.8077994712881,28.7,24.36,0.2107843137254902,0.0572695304084809,0.0608034744842562,0.9179620034542314,0.1506172839506173,0.3
8909,28.8,44.22766040612827,28.8,24.36,0.1813725490196078,0.1327100897351587,0.0521172638436482,0.9145077720207254,0.1444444444444444,0.2573065902578796
8910,30.62,29.70435863144353,30.62,25.5,0.1862745098039215,0.0446115524479801,0.0597176981541802,0.9205526770293608,0.1604938271604938,0.2455587392550143
8911,37.6,32.4464147319562,37.6,25.66,0.230392156862745,0.2674615654663556,0.0684039087947882,0.8575129533678757,0.1925925925925926,0.2656160458452722
8912,46.99,45.68510929300813,46.99,26.0,0.3872549019607843,0.7136440823609067,0.0857763300760043,0.6709844559585493,0.228395061728395,0.2713467048710601
8913,47.07,35.193721075410046,47.07,26.5,0.7990196078431373,1.0,0.1172638436482084,0.5777202072538861,0.2506172839506173,0.2461318051575931
8914,47.06,45.32010785238998,47.06,26.5,0.803921568627451,0.7879202103685495,0.1346362649294245,0.542314335060449,0.2432098765432098,0.2163323782234957
8915,46.98,44.88917051584472,46.98,26.5,0.8235294117647058,0.9683732477822602,0.1313789359391965,0.5552677029360967,0.2382716049382716,0.2005730659025787
8916,42.03,41.66692701236392,42.03,27.3,0.7843137254901961,0.7860171669247012,0.1270358306188925,0.6234887737478411,0.2271604938271605,0.2037249283667621
8917,42.37,40.14578309025712,48.91,42.37,0.4509803921568627,0.7483808538532815,0.1129207383279044,0.7055267702936097,0.2111111111111111,0.2438395415472779
8918,33.05,34.43140330483446,33.05,28.1,0.392156862745098,0.4819237056790789,0.0966340933767643,0.7772020725388601,0.2061728395061728,0.3169054441260745
8919,33.05,31.652780327251207,33.05,26.0,0.4166666666666667,0.4386596834747013,0.0988056460369164,0.8506044905008635,0.2172839506172839,0.4085959885386819
8920,37.0,36.93571674240098,37.0,25.5,0.5294117647058824,0.5762839936620258,0.1172638436482084,0.9231433506044904,0.254320987654321,0.5077363896848137
8921,33.04,29.09261996335467,33.04,25.0,0.6421568627450981,0.5437663075442551,0.1389793702497285,0.9645941278065632,0.3172839506172839,0.6103151862464183
8922,30.18,32.37907534448655,30.18,25.0,0.6078431372549019,0.5525933164753736,0.1606948968512486,0.9740932642487048,0.4074074074074074,0.6810888252148997
8923,29.46,6.43912218840191,29.46,25.0,0.8872549019607843,0.8357292997483907,0.1834961997828447,0.973229706390328,0.5,0.7077363896848138
8924,28.63,29.401676428705613,28.63,24.0,0.9852941176470588,1.0,0.2030401737242128,0.973229706390328,0.5802469135802469,0.7432664756446992
8925,27.98,29.61463992985488,27.98,22.0,0.9852941176470588,1.0,0.2128121606948968,0.9723661485319516,0.6555555555555556,0.7773638968481376
8926,26.93,26.095483891607927,26.93,20.5,0.9852941176470588,0.5425973332920633,0.2149837133550488,0.969775474956822,0.7308641975308642,0.801432664756447
8927,24.21,24.264786372352432,24.21,17.0,0.9901960784313726,0.847160885413297,0.2160694896851248,0.9689119170984456,0.7814814814814814,0.8177650429799427
8928,18.95,25.40373675634072,18.95,18.95,0.9901960784313726,0.9777526610637948,0.2182410423452769,0.8756476683937824,0.7222222222222222,0.740974212034384
8929,4.96,8.419852283618338,4.96,4.96,0.9901960784313726,1.0,0.2182410423452769,0.9602763385146804,0.7580246913580246,0.7896848137535817
8930,0.1,43.20026403138736,0.1,-0.1,0.9901960784313726,1.0,0.2182410423452769,0.9585492227979274,0.7703703703703704,0.8220630372492836
8931,0.11,0.5722038187009968,0.11,-0.1,0.9901960784313726,0.7495418543860953,0.2182410423452769,0.9706390328151986,0.7358024691358025,0.794269340974212
8932,1.75,2.7472128232772075,1.75,-0.1,0.9852941176470588,1.0,0.2171552660152008,0.9645941278065632,0.7074074074074074,0.7810888252148998
8933,20.74,21.719874289455262,20.74,19.0,0.965686274509804,1.0,0.2171552660152008,0.8825561312607945,0.7111111111111111,0.7111747851002865
8934,25.57,26.86283542614059,25.57,20.0,0.9705882352941176,0.8388860003837387,0.2149837133550488,0.8825561312607945,0.7283950617283951,0.7117478510028653
8935,26.99,37.520841165094325,26.99,24.4,0.965686274509804,0.9427557521644286,0.2160694896851248,0.8860103626943006,0.6888888888888889,0.6873925501432665
8936,27.34,31.172259840646444,27.34,25.5,0.9509803921568628,1.0,0.2160694896851248,0.9689119170984456,0.691358024691358,0.6979942693409742
8937,27.92,26.33125011532156,27.92,25.0,0.9264705882352942,1.0,0.2149837133550488,0.9620034542314336,0.6567901234567901,0.6808022922636103
8938,28.03,37.9591481447168,28.03,25.0,0.9607843137254902,0.8269912926769829,0.2138979370249728,0.9568221070811744,0.5839506172839506,0.6077363896848138
8939,28.02,48.07739848321854,28.02,24.27,0.9607843137254902,1.0,0.2117263843648208,0.9490500863557858,0.5308641975308642,0.5868194842406876
8940,28.0,28.2256117965948,28.0,24.2,0.8921568627450981,0.8782425655896683,0.2084690553745928,0.9360967184801382,0.482716049382716,0.5853868194842407
8941,27.98,27.35552997569988,27.98,23.4,0.803921568627451,0.4788551554705151,0.2030401737242128,0.9214162348877376,0.4469135802469136,0.5767908309455587
8942,28.06,37.91273090804249,28.06,24.38,0.7058823529411765,0.5886520054576465,0.1997828447339848,0.9006908462867013,0.3975308641975308,0.546704871060172
